date,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
2026-09-16,-0.67192835,-0.19117126,0.025836248,-0.08231141,-0.1660888,-0.027924538,0.30215928,0.019871809,-0.88709015,0.50383604,0.08547972,-0.3805396,-0.47352102,0.38205633,0.1741188,0.013266787,0.24778168,-0.35359517,-0.16849335,-0.08765399,-0.23670548,-0.4138342,0.047808908,-0.52498823,0.051093623,0.3761443,-0.08469021,0.09255685,-0.0351736,-0.030379869,0.25835454,0.6761884
2026-09-17,-0.6706621,-0.19048603,0.027396936,-0.08175106,-0.1657425,-0.026179679,0.3035875,0.020386491,-0.88551575,0.5029273,0.086526155,-0.37980068,-0.47302458,0.3834051,0.1732734,0.0133864675,0.2466059,-0.35257092,-0.17020066,-0.089285105,-0.23652175,-0.41230413,0.046873726,-0.52405196,0.052395165,0.37581265,-0.08565338,0.0922209,-0.033915613,-0.03005457,0.2579304,0.6758495
2026-09-18,-0.6705406,-0.18716007,0.027171765,-0.0782928,-0.16856053,-0.02428738,0.3037946,0.01948909,-0.8849134,0.5034612,0.08535881,-0.38079858,-0.4717668,0.3842399,0.17287003,0.015112445,0.24699134,-0.3523315,-0.17043515,-0.09220023,-0.23726673,-0.4117936,0.047420748,-0.5257027,0.052919045,0.37733385,-0.08560777,0.09358637,-0.03635103,-0.0320654,0.25925562,0.677141
2026-09-21,-0.67292356,-0.19918546,0.02887712,-0.08866803,-0.16421883,-0.034272313,0.30177873,0.024401248,-0.8877126,0.5044008,0.07984399,-0.37574768,-0.47851506,0.37817314,0.17020532,0.011551943,0.2489613,-0.3567002,-0.1677538,-0.08362784,-0.23557547,-0.4180274,0.046631,-0.5235178,0.04733306,0.3763342,-0.0873321,0.08988026,-0.031797003,-0.026683167,0.26176956,0.6761357
2026-09-22,-0.67044103,-0.19279356,0.030261643,-0.08333588,-0.16461553,-0.029643238,0.3034604,0.023213625,-0.881967,0.50325054,0.08225797,-0.37904432,-0.4753658,0.37912226,0.16835192,0.013576971,0.24565037,-0.35096744,-0.17167087,-0.090795,-0.23866764,-0.41625395,0.047281668,-0.52323276,0.05000125,0.37611383,-0.089702606,0.09151347,-0.031069033,-0.027328834,0.26315466,0.6777597
2026-09-23,-0.6720428,-0.19246972,0.028769128,-0.082971945,-0.16598377,-0.029710352,0.30298772,0.022226617,-0.88366926,0.50318366,0.08171136,-0.37912306,-0.47513464,0.37946448,0.17078501,0.012868067,0.2468628,-0.3525566,-0.17092125,-0.08914128,-0.23799388,-0.4153679,0.047630772,-0.52354366,0.050374135,0.37660465,-0.08785066,0.092192814,-0.032404415,-0.028271787,0.26222187,0.6782332
2026-09-24,-0.67326117,-0.19488251,0.026592102,-0.08421084,-0.16654098,-0.030695587,0.30180967,0.02142736,-0.888049,0.5039581,0.08349167,-0.37885028,-0.47617748,0.3807234,0.17315885,0.012729621,0.24797156,-0.3547943,-0.1689698,-0.087118074,-0.23613805,-0.4150241,0.046964556,-0.52609575,0.049991444,0.37691945,-0.08698717,0.09150922,-0.035044733,-0.028310955,0.26038852,0.6787722
2026-09-25,-0.6727677,-0.1968697,0.028425869,-0.085833415,-0.16462097,-0.03286752,0.30197096,0.02314797,-0.88579607,0.504087,0.08126313,-0.37796715,-0.47858956,0.37812257,0.1703049,0.0123213045,0.24690431,-0.3537254,-0.16996963,-0.08736763,-0.23674572,-0.41765052,0.047049314,-0.52527153,0.04841897,0.37608683,-0.08987714,0.090401575,-0.032082666,-0.026355311,0.26272517,0.67906135
2026-09-28,-0.6718379,-0.19688933,0.029302295,-0.08552709,-0.1634673,-0.032938838,0.3026555,0.023880735,-0.883862,0.5041671,0.08073622,-0.37774318,-0.47875258,0.37741992,0.16868415,0.012685301,0.24627116,-0.35237968,-0.17045297,-0.08868672,-0.23721561,-0.41819885,0.047075406,-0.52456343,0.047719404,0.37581003,-0.091125205,0.08996183,-0.03070733,-0.025896445,0.26358303,0.6788466
2026-09-29,-0.6716915,-0.19405131,0.027320847,-0.083221555,-0.16568567,-0.029745571,0.30269265,0.022172123,-0.8856584,0.504076,0.083329685,-0.37842277,-0.47488168,0.38064945,0.17131071,0.013597868,0.24768764,-0.35313696,-0.16914748,-0.08902622,-0.23651506,-0.41483027,0.046990324,-0.52471316,0.049515724,0.37719208,-0.08724424,0.091374606,-0.03440265,-0.028646342,0.26095545,0.6778814
2026-09-30,-0.6700635,-0.19299951,0.0280319,-0.08195777,-0.16464683,-0.029067129,0.30338597,0.022639535,-0.8833088,0.5039631,0.083867654,-0.37888107,-0.47439733,0.38070118,0.17029335,0.014535844,0.24679941,-0.35107267,-0.1699708,-0.091095395,-0.23702168,-0.4144235,0.04698778,-0.52412754,0.049548388,0.37678924,-0.08826493,0.0913222,-0.033141274,-0.028754644,0.26137862,0.67756057
2026-10-01,-0.6683275,-0.19208786,0.028797135,-0.0807004,-0.16353913,-0.028376907,0.3041497,0.023177322,-0.8807485,0.50384927,0.084237486,-0.37906852,-0.4738523,0.38073158,0.16917402,0.015445858,0.24592909,-0.348972,-0.17084284,-0.09318982,-0.23741455,-0.41393268,0.046939194,-0.52340317,0.049541727,0.37636074,-0.0893264,0.091175914,-0.03185158,-0.028872386,0.26184127,0.6772172
2026-10-02,-0.6680106,-0.19212572,0.028899226,-0.0805815,-0.1631675,-0.028477773,0.30429098,0.023381732,-0.8802017,0.50385046,0.08419854,-0.3790661,-0.47390303,0.3805462,0.16893831,0.015585555,0.24576111,-0.34852993,-0.17095576,-0.09350224,-0.23747477,-0.41395038,0.04699406,-0.52322084,0.049346223,0.37620115,-0.08965926,0.09105918,-0.031442482,-0.02882877,0.2620011,0.6771986
2026-10-05,-0.6669586,-0.19183967,0.029426329,-0.07987057,-0.16213253,-0.028346017,0.3048397,0.023876105,-0.8783179,0.50380796,0.08414796,-0.37918285,-0.47397014,0.38009217,0.16789806,0.016070502,0.24503669,-0.34700638,-0.17151691,-0.0949548,-0.23784097,-0.41404706,0.047017932,-0.5227947,0.0489797,0.3758158,-0.09080042,0.090779856,-0.030260466,-0.028580837,0.26257342,0.6771559
2026-10-06,-0.6672667,-0.19049855,0.027859356,-0.07884687,-0.16359305,-0.026788518,0.30462962,0.022775002,-0.8799486,0.5037565,0.085624635,-0.37963498,-0.4719825,0.38181028,0.16992271,0.016320052,0.24599703,-0.34789938,-0.17055155,-0.094525,-0.23726004,-0.41212362,0.047087513,-0.5230245,0.04999526,0.37656775,-0.08831704,0.09157622,-0.03256575,-0.030217558,0.26084584,0.67675847
